# dataset,Solution dataset URL,Solution name,Solution on-sentence summary,Identification,Label Date,By,From,Maturity stage,Looking For,Target client profile,Tags,Sectors,Youtube Video URL,The environmental benefits,The Financial benefits,Activity Region - Continent,Activity Region - Countries,Complementary solutions,Organization dataset URL
746,https://solarimpulse.com/solutions-explorer/shoc-technology-recycling?queryID=3accc9f02179aead3abd4a546c32e8d1,SHOC Technology & Recycling,A strategy to develop treatment sites for organic matter from household waste," In order to increase diversion rate, Viridis has developed a process chain which makes it possible to treat and dry the organic fraction contained in the garbage, to clean and transform it into a fertilizing material used in agriculture. VIRIDIS offers its partners in municipalities a turnkey service that offers to design, finance and operate sites for the treatment of household waste and here. With this service proposal, Viridis offers its generator customers a method of managing organic matter without the use of a third collection and the brown bin. The process processing capacity is between 5,000 and 25,000 tons of household waste. The process proposed in Viridis' integrated service offer is based on around a patented bio-drying technology: SHOC® technology. SHOC is designed to effectively treat this type of material in closed enclosure, without leachate management and without the use of structuring materials.","November 30, 2020",VIRIDIS environnement,Canada,Small scale commercialization,"Network, Visibility, Funding, Partners","Public Authorities, BusinessServicesWaste & Remediation","Waste-to-materials, Fertilizing, Green waste, Food waste, Recycle waste, Municipal Solid Waste","Waste/Pollution, Manufacturing and construction processes, Solid waste management",,Proportion of household waste diverted from landfill: 40%-GHG reduction representing 381 kg / t of landfilled waste;Process takes less than two weeks using mainly electricity;The dried and clean organic matter produced is used as an alternative fertilizer for agriculture;,For 18000 t of household waste: Payback: 1 year;Savings: 325 000$/yr;,North america,Canada,"SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/viridis-environnement
747,https://solarimpulse.com/solutions-explorer/methavos?queryID=3accc9f02179aead3abd4a546c32e8d1,METHAVOS,A dry process piston flow digester with vertical multizone agitation,"METHAVOS is fitted to reduce either waste incineration, usually more expensive and polluting, or underground burial. METHAVOS offers a unique alternative to other technologies by generating lower operating expenses and higher long-term profitability. The process is designed around the Zero odor nuisance objective, and the biogas resulting from anaerobic digestion can be used directly on cogeneration units (simultaneous heat and electricity production) or be used as fuel for vehicles running on gas, or even be injected into the city gas network. METHAVOS helps public authorities committed to respecting European regulations and objectives to achieve their growing needs for bio-waste treatment and recovery.","November 30, 2020",Lingenheld Environnement,France,Small scale commercialization,"Network, New clients, Visibility","BusinessFarming & AgricultureCrops, BusinessManufacturingFood Products, BusinessServicesWaste & Remediation","Biogas & biomethane, Anaerobic digestion, Fertilizing, Waste-to-energy & fuels, Waste-to-materials, Agricultural Waste, Green waste, Food waste, Recycle waste, Municipal Solid Waste, Waste treatment, Biofuel","Energy, Food/Agri, Waste/Pollution, Power and fuel generation, Solid waste management",https://youtu.be/xjH6H0nRvhY,"One tonne of bio-waste is equivalent to the amount of energy contained in 70 liters of diesel. In other words, with 2 salads (1 kg) it is possible to travel the equivalent of 1.5 km with a vehicle consuming on average 5 liters per 100 km;741 million European inhabitants each producing 100 kg of bio-waste per a year;O% water added in the anaerobic digestion process because that already contained in the bio-waste is sufficient;In a standard 20000 tonnes/year capacity plant, the saved carbon footprint by dry methanization, for the same energy production is about 3000 tonnes;","Methanizing bio-waste costs 40% less and offers an ecological alternative to incineration that costs 110€/ton and remains an highly carbon providing technology;The benefit is positive from the first year and considering the amortization over 15 years of investments, the breakeven point reached at the end of the first 6 years;","Europe,Africa,North america","Romania,Luxembourg,France,Germany,Switzerland,Belgium,Austria,Ivory Coast,Canada","Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);",/companies/view/lingenheld-environnement
748,https://solarimpulse.com/solutions-explorer/reusable-paper-system?queryID=3accc9f02179aead3abd4a546c32e8d1,Reusable paper system,Giving new life to copier paper through laser technology,"Paper is a vital everyday product, but requires significant natural and chemical resource to manufacture and produce. Approximately 95% of copier paper is used only once, then downcycled for the production of tissue paper, cardboard and other materials. As a result, virtually all copier paper is produced from virgin tree fibre. REEP aims to extend the lifespan of paper through its innovation Solution: a reusability model for paper. REEP’s Solution is based on laser deinking to completely remove the ink from the page, combined with advanced materials that enable paper re-use. Implemented initially for copier paper, the system allows users to print on the same sheet of paper, again and again, up to 10 times. REEP’s reusability system is the world’s first technology to enable the circular economy model for paper. In comparison to the mainstream option, REEP's reuse model massively reduces the environmental footprint of office paper usage, decreasing carbon emissions, resource consumption and waste generation by over 90%.



","November 30, 2020",Reep,Israel,Prototype testing 1:1 in the lab,"New clients, funding, partners","Public Authorities, BusinessServicesBuildings Operators","Waste-to-materials, Paper & pulp waste, Recycle waste, Municipal Solid Waste, Corporate & Employees","Industry/Goods, Waste/Pollution, Packaging, Solid waste management",,"Reduces emissions from copier paper usage by over 90%;Reduces resource consumption from copier paper by over 90%, including the consumption of wood, water and energy resources;Copier paper lifespan increased 10x;",Annual cost savings can be between 20-30 % in comparison to recycled copier paper models;Immediate payback from year one;,Europe,United Kingdom,"SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);LACTIPS: A 100% biobased material for a sustainable packaging alternative (Industry & Consumer Goods);Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);",/companies/view/reep
749,https://solarimpulse.com/solutions-explorer/repairable-electronic-boards?queryID=3accc9f02179aead3abd4a546c32e8d1,Repairable Electronic Boards,A solution for repairing electronic boards for agricultural equipment,"The Solution aims at providing a sustainable, cost-effective and environmentally healthy option for farmers facing electronic failure on their farm equipment. The Solution is based on the technical skills of engineers and the development of test benches to repair electronic parts.","November 30, 2020",Philippe GASTOUD,France,Medium and large scale commercialization,"Visibility, Credibility","BusinessManufacturingAutomotives & Road Vehicles
, BusinessServicesRetailerNon-food Retail Stores","Electronic waste, Repair, Agricultural equipment & machinery, Waste-to-materials, Reuse waste, Recycle waste, Industrial Waste","Food/Agri, Vehicles and vessels, Solid waste management",https://youtu.be/eyLRupLDT1o,"80% of the electronic boards are technically and economically repairable;41500 boards have been repaired by Breizelec in 2019;Breizelec electronic boards repairs have saved 1000 tons CO2 in 2019;In 2019, over 3000 boards that no longer exist have been reverse engineered and the lifespan of 3000 tractors has been extended.	 ;",The repair is between 50 and 70% cheaper than buying a new board.;Breizelec covers an 18-month warranty against 12 months for manufacturers.;3000 agricultural machines are still in use thanks to the manufacturing of new obsolete electronic boards.;,"Europe,Asia,North america,Australia","Scotland,Slovakia,Sweden,Romania,Portugal,Poland,Norway,Netherlands,Malta,Monaco,Latvia,Luxembourg,Lithuania,Liechtenstein,Italy,Ireland,Hungary,Croatia,Greece,United Kingdom,France,Finland,Spain,Estonia,Denmark,Germany,Czechia,Switzerland,Bulgaria,Belgium,Austria,Albania,Japan,United States,Canada,New Zealand,Australia","SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);KITRO: Simplifying food waste management for commercial kitchen

 (Food & Agriculture,Waste & Pollution);Winnow: Food waste reduction by connecting commercial kitchens to the cloud (Food & Agriculture,Waste & Pollution);Modul'O: A small scale anaerobic unit to treat organic wastes (Waste & Pollution,Energy,Food & Agriculture);",/companies/view/philippe-gastoud
750,https://solarimpulse.com/solutions-explorer/white-hydrogen?queryID=3accc9f02179aead3abd4a546c32e8d1,White Hydrogen,Drilling for natural hydrogen,"Natural hydrogen is a newly discovered geological source of sustainable and non-fossil energy. It is generated by a natural geochemical process deep inside the Earth'crust, making it a sustainable and inexhaustible source. Natural Hydrogen is still a little-known source of energy but some projects are already set-up and produce natural hydrogen in industrial quantities. It is the cheapest solution to produce carbon-neutral hydrogen and is competitive with fossil fuels. Its value chain is similar to natural gas production. It includes prospection, selection of sites, drilling, extraction and separation of products. It is important to note that environmental protection is a top priority for the implementation of the Solution, which is why Natural hydrogen does not require using controversial techniques like hydraulic fracturing.","November 30, 2020",Natural Hydrogen Energy,United States,Prototype testing in the real world,"Funding, Partners","BusinessManufacturingChemicals & Pharmaceuticals, BusinessManufacturingOther","Hydrogen, Gaseous waste capture, Drilling and extraction","Energy, Power and fuel generation",https://youtu.be/Nu6ye8oY310,"Extraction and use of every kilogram of natural hydrogen prevents emissions of 7.7 kilograms of carbon dioxide;Natural hydrogen is expected to be cheaper than the current cheapest hydrogen (which is around $2/kg), produced by the process called steam methane reforming;Hydrogen is constantly generated in the Earth's depths and the current estimates of the flux give 23 million ton of H2 per year from all geological sources combined;99% reduction of carbon emissions resulting from manufacturing hydrogen;100% reduction of particle and NOx emissions resulting from use of fossil fuels;",33% cheaper than cheapest hydrogen from fossil fuels;2 times cheaper than cheapest green hydrogen;,North america,United States,"Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);PowerCorner: Mini-grids for affordable, reliable, sustainable energy-services for rural and off-grid populations (Energy);",/companies/view/natural-hydrogen-energy
751,https://solarimpulse.com/solutions-explorer/sharo-smart-commute?queryID=3accc9f02179aead3abd4a546c32e8d1,Sharo Smart Commute,A platform for designing and implementing sustainable smart mobility programs,"Sharo's mission is to revolutionize the way people commute. The Solution helps companies, districts and institutions get commuters in and out of the office safely and efficiently while improving their wellbeing, productivity, and the environment. Sharo Smart Commute platform enables organisations and districts to pinpoint hotspot locations and routes so they can plan, setup and monitor safe and sustainable mobility options easily accessible through the Sharo app. These include shuttle buses, carpooling, micro-mobility and more. With COVID-19 it is more important than ever to guarantee everyone has a safe commute by controlling distancing & capacity, validating IDs and tracking who travels together to enable automatic contact tracing where necessary.","November 30, 2020",Sharo Mobility,Ireland,Prototype testing in the real world,"New clients, Funding, Partners",BusinessServicesTransportersTrucks & Other Road Vehicles,"Route optimization, Software, Carpooling & carsharing, Public transport, Corporate & Employees, Planning tool","Mobility, Project planning, Energy and fuel efficiency",https://player.vimeo.com/video/463474732,31% reduction of CO2 emissions equivalent to 228 tons / year;30% reduction of KM travelled equivalent to 1.6 million KMs / year;,"Less than 12 months payback time ;Expected savings of up to 16% in terms of recruitment & retention, productivity loss and parking costs;",Europe,Ireland,"WeNow: A plug-and-play system for the driver to act for the climate now (Freight,Mobility);Skybreathe: An eco-flying solution based on cloud and big data for open airlines (Freight,Mobility);JuiceNet: A smart platform matching drivers’ historical charging patterns to manage charging station demand (Mobility);Rotor Sails: An auxiliary wind propulsion system to reduce the fuel consumption of commercial shipping (Freight,Mobility);",/companies/view/sharo-mobility
752,https://solarimpulse.com/solutions-explorer/snugr?queryID=3accc9f02179aead3abd4a546c32e8d1,Snugr,An energy-efficient and user-friendly system for efficient heating management,"Snugr will help users to feel more comfortable and save money by setting the right temperature, at the right time, in each room with an easy-to-use heating management system and devices. Snugr is a set of heating equipment (battery-less connected radiator valves, aerotherms and boiler controllers...) that is compatible with most heating systems without heavy works, combined with an easy to use web-based solution enabling room-by-room temperature control and heating schedules. Snugr increases the comfort and make it possible to reduce heating consumption in private and public buildings.","November 30, 2020",4INCH: for intelligent change!,Belgium,Medium and large scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, BusinessServicesBuildings Operators","Behavioural, Thermostats, Electronic waste, Automation, Sensors & monitoring, Software, Industrial Waste, Smart-buildings","Buildings, Heating, cooling and ventilation, Energy and fuel efficiency",https://youtu.be/0G0tYaRQ5eg,"Snugr reduced the consumption of a small school in Brussels by 37%, this means 16957 kg of CO2 that are not consumed each year.;In administrative buildings, Snugr could reduce the average heating consumption from 152 KWh/m² down to 106KWh/m²;25% reduction of heating related CO2 emissions;Battery-less motorized radiator valves means less waste;",Average payback time is 4 years;Most customers benefit from 20 to 40% savings on their heating bills;,Europe,"Luxembourg,France,Switzerland,Belgium","Solar space heating: Solar-powered air heaters and rock bed thermal storage to heat homes 

 (Buildings & Shelters,Energy);X-Sol 100 : Resistant and low-cost solar water heater using special plastic materials (Buildings & Shelters,Energy);Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);animeo Connect : Facade shading management solution for increased energy savings in buildings (Buildings & Shelters);",/companies/view/4inch-for-intelligent-change
753,https://solarimpulse.com/solutions-explorer/skypull-airborne-wind-energy?queryID=3accc9f02179aead3abd4a546c32e8d1,Skypull Airborne Wind Energy,Low-cost electricity from an autonomous patented wing drone connected to a ground generator,"Seeking to meet the EU climate change targets, we will need to at least double the electricity generated from renewables by 2030. Wind power is our second largest energy resource after solar power.  Wind resources could provide 1,800 TW to 3,600 TW of energy, 100X more than the current global demand for power. However, most of this wind is at high altitudes.



Skypull is developing an efficient, reliable and scalable high altitude wind energy system, that consists of an autonomous vertical take-off and landing (VTOL) drone tethered to a ground generator. The drone, operating between 200 and 600 meter elevation, captures much stronger winds compared to traditional wind turbines, enabling the production of abundant low cost electricity potentially in almost any location around the globe. Skypull has a much lower environmental impact versus traditional fossil fuel based electricity generation systems, and also versus traditional wind turbines, by eliminating 90% of their mass and providing for ease of transportation and logistics, with substantially reduced CO2 emissions during its lifecycle. The worldwide patented system is completely safe, thanks to its operational principles and redundant technical solutions.","November 30, 2020",Skypull,Switzerland,Prototype testing in the real world,"Network, New clients, Visibility, Funding, Partners, Credibility","BusinessManufacturingMachinery & Turbines, BusinessEnergy Utility","Off-grid, Drones, Wind power","Energy, Power and fuel generation",https://youtu.be/P2md80ICTWY,"The Skypull 1 MW system energy production is double of a same rated power wind turbine, installed in the same location;The Skypull 1 MW system overall mass (including foundation) is around 60t, vs. approximately 2,000 t of a wind turbine of comparable capacity;The Levelized Cost of Energy (LCoE) of the system ranges between 30-40 $/MWh, allowing it to compete with all fossil fuel based technologies without public incentives ;A Skypull system reduces 99% CO2 emissions (less than 1 g vs 820 g CO2/KWh), when replacing a coal fired power station;Its environmental impact reduces 90% CO2 (less than 1g vs. 13 g/kWh) versus traditional wind turbines, due to much lower energy demand during manufacturing;The drone is 7 times smaller in size compared to a traditional wind turbine rotor, and operates at 200-600 meter altitude, reducing the visual impact by 90%;","The Levelized Cost of Energy (LCoE) for a 1MW Skypull system will be 30% less than traditional wind turbines in low wind site locations (6 m/sec avg. annual wind speed);Energy Return on Energy Investment (ERoEI) of Skypull's 1 MW system is expected to be above 150, a value that can grant a new era of economic and social development around the world;One 1 MW Skypull system will produce enough energy to provide sustainable clean and renewable power to 1,100 homes at near zero CO2 emissions over its lifecycle;",Europe,Switzerland,"Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);PowerCorner: Mini-grids for affordable, reliable, sustainable energy-services for rural and off-grid populations (Energy);",/companies/view/skypull
754,https://solarimpulse.com/solutions-explorer/re-pet-into-apparel?queryID=3accc9f02179aead3abd4a546c32e8d1,RE-PET INTO APPAREL,A process that transforms used plastic bottles into new apparel,"The Solution is represented by the production of clothing apparel and accessories (i.e. bags) in polyester recycled from used plastic bottles. The Solution aims at providing a circular production process where new products are created from waste. The objective is to manage a close loop where both the collection of plastic waste and the production of apparel occur in the same country/location hence creating a complete circular economy. Pielleitalia has developed a certified supply chain The Solution allows the re-use of waste to generate products with the same quality and characteristics as the non-recycled alternative. In this way, large amounts of CO2 emissions are saved and this would have a positive impact on people and the environment.","November 30, 2020",Pielleitalia srl,Italy,Medium and large scale commercialization,"Network, New clients, Visibility, Partners, Credibility",BusinessManufacturingTextiles & Clothes,"Textile & fiber products, Waste-to-materials, PET waste, Recycle waste, Municipal Solid Waste","Industry/Goods, Waste/Pollution, Materials and chemicals, Solid waste management",,"From 16 to 45 used plastic bottles recycled during the process, depending on the product to be produced;100% recyclable at the end of use;100% recycled fabric;20-70% reduction of CO2 emissions compared to non-recycled product. depending on the characteristics of the product;",Same price as mainstream alternative;Less transportation cost as the process aims at producing and delivering the products at the same location;,"Europe,Asia","Kosovo,Vatican City,San Marino,Slovenia,Serbia,Portugal,Malta,Republic of Macedonia,Montenegro,Italy,Croatia,Greece,Gibraltar,Spain,Bosnia and Herzegovina,Albania,Andorra,Svalbard and Jan Mayen,Sweden,Norway,Netherlands,Monaco,Latvia,Luxembourg,Lithuania,Liechtenstein,Jersey,Iceland,Isle of Man,Ireland,Guernsey,United Kingdom,France,Faroe Islands,Finland,Estonia,Denmark,Germany,Switzerland,Belgium,Åland,Austria,India,Qatar,United Arab Emirates","WOODOO: A bio-based translucent wood material for sustainable construction applications (Industry & Consumer Goods);SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);LACTIPS: A 100% biobased material for a sustainable packaging alternative (Industry & Consumer Goods);",/companies/view/pielleitalia-srl
755,https://solarimpulse.com/solutions-explorer/ev-1-electric-motorcycle?queryID=3accc9f02179aead3abd4a546c32e8d1,EV-1 Electric Motorcycle,An electric motorcycle with a disruptive battery architecture and exoskeleton chassis,"This Solution delivers a zero tailpipe emission motorbike using local and sustainable materials. Newron has developed an exoskeleton chassis with integrated batteries to reduce the overall weight and thus reduce costs and energy consumption. The motorcycle is equipped with composite wooden and linen fibre parts sourced locally: 80% of the parts come from Europe. The EV-1 has an exclusive design, outstanding performance and offers tailor-made services for the customer. This Solution delivers an environmentally sustainable alternative to mainstream motorbikes without compromising cost or style.","November 30, 2020",Newron Motors,France,Prototype testing 1:1 in the lab,"New clients, Visibility, Funding, Partners","Individual, BusinessServicesRetailerB2C E-Commerce Platforms","Electric, Batteries - energy storage, Motorcycles, Electric vehicles, Vehicles","Mobility, Vehicles and vessels",https://youtu.be/s3e_kFydy5Y,"Zero tailpipe emissions from operation;Uses 50% recycled and local materials, 80% of the motorcycle can be recycled;85% lower CO2 emissions over product lifetime compared to mainstream alternative;0.7 € of electricity to travel 100km;","Payback time is less than 8 years;Allows a €3,000  savings over product lifetime compared to mainstream alternative;","Europe,Asia,North america","Kosovo,Vatican City,Ukraine,San Marino,Slovakia,Svalbard and Jan Mayen,Slovenia,Sweden,Russia,Serbia,Romania,Portugal,Poland,Norway,Netherlands,Malta,Republic of Macedonia,Montenegro,Republic of Moldova,Monaco,Latvia,Luxembourg,Lithuania,Liechtenstein,Jersey,Italy,Iceland,Isle of Man,Ireland,Hungary,Croatia,Greece,Gibraltar,Guernsey,United Kingdom,France,Faroe Islands,Finland,Spain,Estonia,Denmark,Germany,Czechia,Switzerland,Belarus,Bulgaria,Belgium,Bosnia and Herzegovina,Åland,Austria,Albania,Andorra,Yemen,Turkey,Syria,Saudi Arabia,Qatar,State of Palestine,Oman,Lebanon,Kuwait,Jordan,Iraq,Israel,Georgia,Cyprus,Bahrain,Azerbaijan,Armenia,United Arab Emirates,United States,Saint Pierre and Miquelon,Greenland,Canada,Bermuda","SeaZen: A 100% autonomous solar boating service with license free self-service access (Mobility);ANTISMOG: An on-demand hydrogen fuel enhancement system for the reduction of air pollution from vehicles (Freight,Mobility);Sion: An eco-friendly and low-cost electric car with integrated photovoltaic cells (Mobility);EP Tender: A range extending service for electric vehicles (Mobility);",/companies/view/newron-motors
756,https://solarimpulse.com/solutions-explorer/star?queryID=3accc9f02179aead3abd4a546c32e8d1,STAR,A semi-submersible floating system providing access to offshore winds in deep maritime areas,"STAR is a semi-submersible floating system for floating offshore wind. Floating offshore wind turbines harness the energy of offshore winds in deep maritime areas farther from the coast, which are powerful and constant. Unlike fixed-foundation wind turbines that are supported by a base, which is directly set on the seabed using a gravity foundation, this Solution is based on a floating structure in concrete, steel or a steel/concrete hybrid combination fixed to the seabed by an anchoring system that controls its movements. Compared to fixed-foundation wind turbines, this innovative technology overcomes the constraints of deep-water installation and is able to produce renewable energy farther from the coast with a low visual impact. The Solution is designed to be competitive, produced in series and easily operated. It can be adapted to the specificities of the operating site and local industrial ecosystems.","November 25, 2020",Naval Energies,France,Small scale commercialization,New clients,"Public Authorities, BusinessEnergy Utility","Coastal, Offshore wind power, Wind power","Energy, Infrastructures, Manufacturing and construction processes",https://youtu.be/v8AT_hqgaFU,Carbon payback time in around 1 year;Largely made of recyclable material like steel;,Designed for a 25 year service life;LCOE forecasted 40-50 €/MWh by 2030;Already selected for pre-commercial project;,"Europe,Asia,North america,Australia","France,United Kingdom,Ireland,Slovenia,Sweden,Portugal,Norway,Netherlands,Italy,Croatia,Greece,Spain,Denmark,Germany,Belgium,Japan,Taiwan,South Korea,Indonesia,Mexico,U.S. Virgin Islands,British Virgin Islands,Saint Vincent and the Grenadines,United States,Trinidad and Tobago,Turks and Caicos Islands,Sint Maarten,Puerto Rico,Montserrat,Martinique,Saint Martin,Saint Lucia,Cayman Islands,Saint Kitts and Nevis,Jamaica,Haiti,Guadeloupe,Grenada,Dominican Republic,Dominica,Curacao,Cuba,Canada,Bahamas,Bonaire, Sint Eustatius and Saba,Saint Barth̩lemy,Barbados,Aruba,Anguilla,Antigua and Barbuda,New Caledonia,Australia","Low-cost substructure system: Bottom-fixed offshore turbine prototype that can be installed safely, simply and without cranes (Energy,Infrastructures);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);SOPRASOLAR FIX EVO: A photovoltaic waterproofing process for converting roof surfaces into renewable electrical production (Buildings & Shelters,Energy);DI Global System: A carbon dioxide supplementation system for the maintenance of metal structures (Industry & Consumer Goods,Infrastructures);",/companies/view/naval-energies
757,https://solarimpulse.com/solutions-explorer/solar-powered-carport-mobility-hubs?queryID=3accc9f02179aead3abd4a546c32e8d1,Solar Powered Carport Mobility Hubs,Solar powered e-mobility and grid-servicing solution,"A solar power, grid-connected EV charging solutions with services from OS management of all solar and EV charging, smart lighting and air quality sensors and batteries providing either off-grid power or grid-services, all integrated into one hardware and software platform. The 6 car solar-powered unit creates approx 2MW of clean power per year, dependant on location. This translates in up to $6000 saved per year on local utility (Mass, California rates).","November 25, 2020",iSun Energy,Canada,Small scale commercialization,"Network, New clients, Visibility, Partners, Credibility","Public Authorities, BusinessServicesBuildings Operators, BusinessServicesHealthcare & Medical Institution
, BusinessServicesHotels & Resorts, BusinessServicesInfrastructureAirports and Airbases, BusinessServicesInfrastructureRoads & Road Traffic Infrastructure","Inverter, EV charging, Sensors & monitoring, Software, Solar photovoltaic","Mobility, Infrastructures, Power and fuel generation, Power and fuel distribution",https://youtu.be/R9lWEx5rv3I,"Aluminum aircraft grade hardware ensure long lasting sustainability;2MW of annual power for clean powered EV Charging.;24hr resilient power due to 90KWH battery.;Reduce CO2 emissions, the quantity of grid power used, specially from non-renewables, help measure the PM pollutants and deliver information on the saved pollutions as well.;Localized supply chain reduces carbon emissions in getting systems to site.;At least 35% of emissions avoided compared to the mainstream alternative. ;","Payback depends on the cost of the local grid power and if other revenues such as sponsorship branding is possible on the sites. As well, money earned from grid-services are added with the battery.;Lowered production of carbon emissions provides for cleaner air provides for less cardio-pulmonary treatment costs where deployed.;",North america,"United States,Canada","Sion: An eco-friendly and low-cost electric car with integrated photovoltaic cells (Mobility);City Boats Lisbon: An alternative city river and lake transportation for touristic activities (Mobility);Cryonod: Recovering energy from natural gas networks by liquidizing industrial gases (Energy,Infrastructures);Atawheel: Zero emission mobility based on hydrogen energy storage and water electrolysis technology (Infrastructures,Mobility);",/companies/view/isun-energy
758,https://solarimpulse.com/solutions-explorer/ev-for-all?queryID=3accc9f02179aead3abd4a546c32e8d1,EV for All,Optimal route for electric vehicles and fleets including vehicle charging,"The EV for All Solution by Make My Day uses unique data and technology to help B2B customers reduce costs and emissions in the largest growth market in the automotive industry. The Solution provides the optimal route for EV drivers and fleets, including vehicle charging, by using a unique decision-making algorithm which combines data about the driver's calendar, the fleet's CRM, the battery status of the EV, and the charging stations in the areas. Combining all this data in real-time creates the optimal route and plan, both for drivers and fleets including the charging.





","November 25, 2020",Make my Day,Israel,Prototype testing in the real world,"Network, New clients, Visibility, Funding, Partners, Credibility","BusinessEnergy Utility, BusinessServicesInfrastructureRoads & Road Traffic Infrastructure","Electric, Cars, Vehicles, EV charging, Route optimization, Software, Sensors & monitoring, Electric vehicles","Freight, Mobility, Infrastructures, LogisticsPower and fuel distribution",https://youtu.be/0anV4DYGRMU,Could save up to 58 kilos of CO2e per year by optimising routes and charging;,For the target customers we present a very clear offering of NET ROI of around $40+ per month per vehicle;,Europe,"Italy,United Kingdom,Germany","innovative telemetry unit: Simple remote monitoring solution for oil and gas tanks (Freight);K-Ryole: Electric bike trailers for urban freight (Freight);Cryonod: Recovering energy from natural gas networks by liquidizing industrial gases (Energy,Infrastructures);Atawheel: Zero emission mobility based on hydrogen energy storage and water electrolysis technology (Infrastructures,Mobility);",/companies/view/make-my-day
759,https://solarimpulse.com/solutions-explorer/unicollecte?queryID=3accc9f02179aead3abd4a546c32e8d1,Unicollecte,Intelligent robotics system able to sort different waste streams into colored bags,"Waste Robotics offers systems, which did not exist 4 or 5 years ago, and makes it possible to compete with an increase of performance and economies over Capex and Opex. Technological advances in recent years have made it possible to put artificial intelligence and robotics at the service of the environment at more affordable costs. The Waste Robotics system uses cutting-edge alternative technology that has more capacity than human sorters. Waste Robotic offers an avant-garde process which makes possible the selective collection of different types of residual materials (and namely organics) by the use of separate bags of different colours, using Waste Robotic's optical sorting. This allows a single picking of residual garbage and organics and promotes maximum citizen participation while ensuring optimum quality in sorting materials. Thanks to its simplicity, Unicollecte is convenient and cheaper than traditional ""brown"" or ""green"" collection bin, while reducing trucking and GHG emission.","November 25, 2020",Waste Robotics,Canada,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, BusinessServicesWaste & Remediation","Organic, Domestic & municipal wastewater, Green waste, Food waste, Waste sorting, Municipal Solid Waste","Waste/Pollution, Manufacturing and construction processes, Solid waste management",https://youtu.be/FcB7PscBnyo,"A single line system can handle 25 tonnes / hour of garbage and recover 10 tonnes / hour of source-separated-organics;The system is autonomous, easily adaptable and can recover bio-waste with a purity of more than 98%, 24h/24 and 7d/7;Waste Robotics' WR-1 system reduces GHG emissions by 44 kg eCO2 / year per person;WR-1 enables better selective collection and allows the recovery of an additionnal 48 kg of organics per year per person;","OPEX - The use of bag collection remarkably reduces the costs of recovering organic matter, by € 30 per year per household;CAPEX - The system avoid to pay for additional garbage bins (±50€ per household) and the acquisition cost of a WR-1 system is 50% less that of a competition;","Europe,North america","France,Canada","SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/waste-robotics
